time,level,estimate,std_error,lower_bound,upper_bound,p_value,sig
-54,Average,-0.5586830812621181,0.43062386110648193,-1.1334365271940179,0.3691893610482948,0.19450023388345805,
-53,Average,-0.5586830812621181,0.43062386110648193,-1.1334365271940179,0.3691893610482948,0.19450023388345805,
-52,Average,-0.08692475337278693,0.06954608349705531,-0.19569979335030918,0.05909793312837691,0.2113407884448193,
-51,Average,-0.08692475337278693,0.06954608349705531,-0.19569979335030918,0.05909793312837691,0.2113407884448193,
-50,Average,-0.08692199739126592,0.07024831842644963,-0.1967356513350634,0.06000610876525171,0.2159559018611188,
-49,Average,-0.08691980228284207,0.07082749769194698,-0.1970213813647667,0.06215206603682902,0.2197458531604206,
-48,Average,-0.0755566951026638,0.07098116894830467,-0.1852869677641914,0.07284839813558949,0.28711985523389205,
-47,Average,-0.01979941401995626,0.07188560003102008,-0.13724066992749517,0.13043299442534062,0.7829862915992272,
-46,Average,-0.030109230785526773,0.07043355603252782,-0.14046736462436532,0.11605357055471602,0.66902670705579,
-45,Average,-0.0348253352598712,0.07198520199677015,-0.15085769762436538,0.11551520195509482,0.6285387148632322,
-44,Average,-0.03954160980071864,0.07440771569066418,-0.16568316763689797,0.12054460133393843,0.595129054495164,
-43,Average,-0.057551647319868005,0.07051444299464017,-0.16943314755075312,0.09169251892795258,0.4144039312312522,
-42,Average,-0.0461885787860984,0.07027199361650097,-0.15617907314317558,0.10188554732087841,0.5109990384785901,
-41,Average,-0.016146259708257255,0.07508281181702667,-0.14099618786258034,0.1352305231731002,0.829731440506249,
-40,Average,0.10493123337169441,0.06075373811156418,-0.016936099612271507,0.22007333635402115,0.08413950259852587,*
-39,Average,0.15703047649215246,0.07917289542831893,-0.007150058351528238,0.3002743312185154,0.04732423932618279,**
-38,Average,0.06689745617904573,0.13086782503857733,-0.15963189279380313,0.3281238009754069,0.6092226604316577,
-37,Average,0.08956415913055153,0.07212276512642485,-0.04829133277191282,0.22466295820058907,0.21429956924575988,
-36,Average,-0.0401500773340708,0.09872703960173522,-0.189489053703403,0.1567933535303228,0.6842447810572829,
-35,Average,0.04748995272619749,0.047883595886338566,-0.05115980548060935,0.13645073657042622,0.32130526357228506,
-34,Average,0.040894018421815295,0.05888104818676983,-0.07161943922354091,0.15497500297330205,0.48735666491438523,
-33,Average,0.09690548630959327,0.08050354881632663,-0.06664126122786969,0.254502169701375,0.22868939291494383,
-32,Average,0.003962126993974985,0.0722102627626352,-0.13305971316285864,0.14807611402788642,0.9562425853998107,
-31,Average,-0.0017855433955179948,0.07948757573180754,-0.14092368171785644,0.17429912395876035,0.9820784859577871,
-30,Average,0.01746665805240855,0.07740838976654109,-0.12560640010490837,0.17260006763514635,0.8214791265998171,
-29,Average,0.08367667199325694,0.06717143876019535,-0.03642512075577341,0.2257398986825987,0.21286793400165527,
-28,Average,0.018432308537982736,0.08166351404872674,-0.13514630958255597,0.18323994251761666,0.8214266295692088,
-27,Average,0.006780921645868714,0.07340394034871656,-0.13430538977410772,0.15310567349100374,0.9263975834426039,
-26,Average,0.02479388864559636,0.044325726996990306,-0.05874545169377921,0.11282061086690695,0.5759183636830874,
-25,Average,0.018952908053419478,0.10323781117201832,-0.13808428250188526,0.22750957907777877,0.8543390732547311,
-24,Average,0.005216016594321158,0.077782936198557,-0.1287220413617654,0.17270838653209045,0.9465350337748266,
-23,Average,-0.020137556758597724,0.05625643938201408,-0.12494126046909655,0.09201544482213415,0.7203732252498707,
-22,Average,-0.011787865010575261,0.0689714286042331,-0.12069575110416678,0.13130847370043605,0.8642950106355498,
