time,level,estimate,std_error,lower_bound,upper_bound,p_value,sig
-54,Average,-0.1676500924333427,0.8798333427743846,-1.7391543837269225,1.6138924286226926,0.8488800820905797,
-53,Average,0.06922725040051031,0.7755482858727859,-1.3867215063185616,1.650006944591633,0.9288734273701043,
-52,Average,0.19496153183266413,0.4529934241035109,-0.6000430489534598,1.196166222330917,0.6669156739453399,
-51,Average,0.08370647721592482,0.4788417011698376,-0.7167134891044773,1.0981617046738446,0.8612286688352093,
-50,Average,-0.18128738191579186,0.5067947703530686,-1.0621497761802794,0.8998150983527256,0.7205576541380136,
-49,Average,-0.08708177877299181,0.5074733934508293,-0.9802934527768705,0.9736706310733951,0.8637530230794583,
-48,Average,0.028507053523534512,0.50203340091241,-0.8189550483197694,1.0935987798060658,0.9547179118548714,
-47,Average,0.09463833376180966,0.4632731340562144,-0.7280213322063808,0.9747980414935579,0.8381331835591466,
-46,Average,0.00273928390122353,0.5062783177197313,-0.8769512132276129,1.0452310320411111,0.995682964108942,
-45,Average,-0.08407708115776319,0.48064306280547375,-0.9134791658108532,0.9435152103184123,0.8611375958696568,
-44,Average,0.02498230444731558,0.41975449372776436,-0.6863728451998145,0.8648700477659361,0.9525407500075969,
-43,Average,-0.07408572857889345,0.40816934574473096,-0.7664880005006309,0.7630133901780884,0.8559693793480383,
-42,Average,0.026424959201572305,0.4097505142056326,-0.6800390403090656,0.8700452477726242,0.9485797807379093,
-41,Average,0.0047222335369932165,0.4473044979691223,-0.7862472735574608,0.9260496678014623,0.9915768178907776,
-40,Average,0.34334499944895325,0.39759758537745576,-0.41117508490940025,1.142042336951201,0.38783568772458477,
-39,Average,0.06505454902604238,0.3762121922601296,-0.6230897428230265,0.8364110747075816,0.8627144429108617,
-38,Average,0.049949542401087024,0.39370030147978147,-0.6785868561130776,0.8314673620606857,0.8990417128075334,
-37,Average,0.06112984453674372,0.2979706906902868,-0.46068333326744126,0.6810151338049416,0.837451898225704,
-36,Average,-0.011900230545979041,0.30564959064854186,-0.5323182386558157,0.5884010847793096,0.9689428280449828,
-35,Average,0.01861191440857012,0.297882224345345,-0.4961949808878192,0.6261438394227457,0.9501799655425809,
-34,Average,0.009179809824295608,0.2781549001444542,-0.46643461396053615,0.6071979462680351,0.9736725861838045,
-33,Average,0.05196335311812334,0.2717263172084913,-0.43153785403790595,0.602502972434242,0.8483421442442265,
-32,Average,-0.027818251235099987,0.2976729392829823,-0.48456556754345076,0.604343441607015,0.9255441617163478,
-31,Average,-0.09524715371663191,0.2225443658678537,-0.48906346758503955,0.3749868316484623,0.6686571231732827,
-30,Average,0.02235246623098062,0.19851658008810488,-0.31786183798308926,0.4181827764631967,0.9103496847119465,
-29,Average,-0.05014551262782214,0.2714670794344973,-0.5014936042716566,0.5312463816185776,0.8534483298254063,
-28,Average,-0.05681713222881077,0.21528053720553936,-0.49575034148247976,0.3237214127350371,0.7918405158783948,
-27,Average,0.19284682977718176,0.21729417456105068,-0.24756751661176646,0.5870423420976691,0.37481410061021103,
-26,Average,-0.03395332878649912,0.23949674220828893,-0.5230049257737475,0.36906793264822024,0.8872620913647924,
-25,Average,0.12990026449979,0.23705680607778415,-0.3639437425103371,0.558132033755803,0.5837117883128546,
-24,Average,-0.05483763176439134,0.2606008649095022,-0.5728725522758213,0.4109868101081954,0.8333339016561787,
-23,Average,-0.003849461643451434,0.28042621534945567,-0.5544392359967544,0.5194574784444803,0.9890476375375539,
-22,Average,-0.13017727696643044,0.27142280045556644,-0.666401981863475,0.3536217994074724,0.6315042426907744,
-21,Average,-0.14403252650642306,0.2699153978490916,-0.6887501808961476,0.33243632753141106,0.5936037710387545,
-20,Average,-0.132330535085915,0.28800497827600147,-0.6993071280651275,0.39367359032347504,0.6458944776168913,
-19,Average,-0.0023266998062604453,0.3545562122796818,-0.7516045481021589,0.6352850049504316,0.994764089685432,
-18,Average,-0.014391608755168893,0.3150279284717112,-0.6259449105809146,0.5868686696436636,0.963562438294018,
-17,Average,0.006241403199170378,0.3419634399504188,-0.6466909320865752,0.6358996884919949,0.9854380843257031,
-16,Average,-0.01549235236722574,0.34520940733733735,-0.7307654805283722,0.5908619446452774,0.9642044496847635,
-15,Average,-0.042409052062285735,0.35026312289525546,-0.7243017856352376,0.6114663361926876,0.9036294948686041,
-14,Average,-0.03048086031143621,0.380620307406677,-0.7701450689884957,0.6685160156669414,0.9361719867489415,
-13,Average,0.11201689444324336,0.37845914003162107,-0.6536176964607892,0.7809729430866602,0.767244228809048,
-12,Average,-0.06842627111006451,0.44527505628239755,-1.0513758141617606,0.705620437167415,0.8778684293858943,
-11,Average,-0.12145474136852527,0.37978026229979017,-0.9272693602135099,0.5455772231166963,0.7491179245173347,
-10,Average,0.08668884080922118,0.40994846114750993,-0.7959595981059915,0.7963802482307847,0.8325261735898359,
-9,Average,-0.03927415829747678,0.3894198099485318,-0.8593826906496094,0.6397398319511238,0.9196671488694828,
-8,Average,0.04135912152861495,0.34153019189986733,-0.6997715089564386,0.6323991367961357,0.9036122575458305,
-7,Average,-0.001684138492902736,0.37179704168468647,-0.7925376701772744,0.674753907306933,0.9963858144206759,
-6,Average,0.03261803563544769,0.3101736838408086,-0.6075560579467613,0.6041887248276625,0.9162484124951251,
-5,Average,-0.03774989004429871,0.3488208854794406,-0.7281922679507047,0.5617513606065171,0.9138200574685449,
-4,Average,-0.0873515534621335,0.3670882462579983,-0.8310623047667187,0.5629310265346795,0.8119137361589184,
-3,Average,-0.11038737361755642,0.3387310270574673,-0.7874164298248082,0.5181822102681333,0.7445113362588143,
-2,Average,0.08839546505807738,0.36418733683053106,-0.6441379593150082,0.7748063895428101,0.8082224944611411,
-1,Average,-0.02634544405792313,0.29397876316117355,-0.6180891594528417,0.5393353693006928,0.9285917119346607,
0,Average,0.047213106123470835,0.38443769770190267,-0.6791242159706105,0.7908123789450446,0.9022569117100308,
1,Average,0.04516946259208483,0.32692830763186825,-0.5826648317590409,0.6985774549767093,0.8901114347817889,
2,Average,0.2437151929842425,0.3507034811698955,-0.5074609453526363,0.849214118676343,0.487097700502122,
3,Average,-0.0032379846778020673,0.2992605936650414,-0.5939375875004718,0.5800225145241943,0.9913670973445592,
4,Average,0.0368257106441918,0.34458533770795907,-0.6300868001912954,0.6986744378482678,0.914892399787476,
5,Average,0.02411518712004574,0.35506212304546775,-0.6649145137846141,0.7343432392197978,0.9458507353779946,
6,Average,-0.014346228934058227,0.3264644971515068,-0.6389216024089583,0.6458500486760878,0.9649488638135428,
7,Average,0.04785950177427428,0.34176590331305623,-0.6115453234852364,0.7335591231739222,0.8886316120712121,
8,Average,0.01677712612432567,0.3050485007668501,-0.5519024102198034,0.6370133489610224,0.9561398777861441,
