time,level,estimate,std_error,lower_bound,upper_bound,p_value,sig
-54,Average,-0.16764055822700755,0.8878403966908054,-1.750382495376943,1.6449007981411632,0.8502351897953351,
-53,Average,0.06923472266083769,0.7817512577700063,-1.3976977376377417,1.6349789611317491,0.9294287201108395,
-52,Average,0.19496053555327014,0.4390336361088576,-0.5840009754468283,1.0778564053278445,0.6569938382035274,
-51,Average,0.0837037514670437,0.47196966193135503,-0.7221133421358086,1.0750499324308591,0.8592335921716476,
-50,Average,-0.18128726099292267,0.5078124959346093,-1.0459764486322944,0.9035063685643244,0.7210944594097812,
-49,Average,-0.08708019811462114,0.5135124001935625,-0.9646264335092527,1.0089569500829796,0.8653423434836114,
-48,Average,0.02850824186456083,0.5074934607129751,-0.8585808721359098,1.0887924093858214,0.9552027159279903,
-47,Average,0.09463850867083042,0.4674249968061742,-0.7159986290002317,1.1171561799881424,0.8395510324819941,
-46,Average,0.002740316776472151,0.51030030258724,-0.8570412077437117,1.125398827765077,0.9957153740098785,
-45,Average,-0.08407631403138666,0.478540663490619,-0.87175421997390945,0.8990764331528367,0.8605350212739267,
-44,Average,0.024984267612608753,0.41317622084350775,-0.6693655247650696,0.9480415970015981,0.9517822694644857,
-43,Average,-0.07408567054392926,0.40360212291054126,-0.7479763478453691,0.8300601092802494,0.8543577415714614,
-42,Average,0.026424853455590442,0.3934215724085616,-0.6521673445005902,0.8890602333842255,0.9464489447503255,
-41,Average,0.004723172208326121,0.443983043454241,-0.754913472854011,0.9311310806614342,0.9915121193068703,
-40,Average,0.3433430105363186,0.3883585829701673,-0.32330195259566435,1.1607136607681237,0.3766489222864753,
-39,Average,0.06505417589914275,0.36873211839680375,-0.5937580859272944,0.7957289748730639,0.8599587618964204,
-38,Average,0.049949557532582047,0.3960316265625516,-0.6150682997914554,0.8771409063581815,0.89963284117366,
-37,Average,0.061130693231069455,0.292843414546457,-0.45390168986610957,0.6428539568354343,0.8346443907283438,
-36,Average,-0.011897368091115908,0.2951461523777214,-0.5607120065570127,0.595585019065029,0.9678459093223897,
-35,Average,0.018612757083212684,0.2938773986021223,-0.49171063337104143,0.6015301456854628,0.9494996589058573,
-34,Average,0.009181780063704813,0.2771501361818773,-0.4477545141203135,0.5737615029860756,0.9735715061567756,
-33,Average,0.051964635550213634,0.2746250478362348,-0.4498961693029076,0.6218618011655377,0.8499201533607124,
-32,Average,-0.027816249180921772,0.302370912275847,-0.49555166327748085,0.6178292550511776,0.926702965715833,
-31,Average,-0.09524603151175837,0.22402950482090034,-0.48790419920197026,0.36908299002103784,0.6707276965918871,
-30,Average,0.022352061115132896,0.1966832923815353,-0.30917649680392084,0.4487332585842646,0.9095192605136528,
-29,Average,-0.05014272398194765,0.26597458633473964,-0.49098143375840225,0.4951139304656067,0.8504655172738984,
